COM,delta_elec,D_elec_2014,D_elec_2020,pct_voix_exp_2014,pct_voix_exp_2020,Code Nuance 2014,Code Nuance 2020,part_diplome_14,part_diplome_20,delta_pct_diplome,part_cadres_2014,part_cadres_2020,pop2014,pop2020,delta_pop,MED13,MED19
13108,0.0,0.0,0.0,52.74,48.12,LUD,LDVD,0.14437804759550407,0.13443196753137995,-0.009946080064124119,0.03153916027547039,0.03213870179913633,14583.000000000002,15508.0,924.9999999999982,16018.0952380952,17370
13110,0.0,0.0,0.0,48.89,47.11,LDVD,LDVD,0.24302653946649547,0.2607285356665126,0.01770199620001714,0.08970620765154184,0.09741675845454659,10895.999999999996,10507.0,-388.99999999999636,21565.0,24200
14117,0.0,0.0,0.0,45.09,58.69,LDVD,LDVD,0.12601025721914683,0.16580965014993135,0.03979939293078452,0.010780133321399387,0.03693791377496554,3673.0000000000055,3511.0,-162.00000000000546,18855.0,21700
14221,-1.0,1.0,0.0,43.0,47.49,LDVG,LNC,0.14930841447042711,0.16323852052386614,0.013930106053439029,0.04395603350625312,0.0472827306020999,3245.0,3063.0,-182.0,20830.8,22400
14341,0.0,0.0,0.0,35.53,59.87,LUD,LDVD,0.16349623940139626,0.19419598553695439,0.03069974613555812,0.052591554479500244,0.052001900472199214,11525.0,11901.999999999996,376.99999999999636,19623.5,21370
14366,0.0,0.0,0.0,40.12,44.02,LDVD,LDVD,0.11926066973411671,0.14587668116739233,0.02661601143327562,0.03282544031010915,0.03304500340066225,20880.999999999996,19754.999999999996,-1126.0,16512.0,18480
14536,0.0,0.0,0.0,43.95,60.66,LDIV,LNC,0.18565573770491806,0.21050568404547237,0.02484994634055432,0.0737704918032787,0.06860054880439044,2371.0,2551.0,180.0,20680.0,22580
14715,0.0,0.0,0.0,51.93,50.53,LDVD,LDIV,0.14886344924434158,0.18277714076113877,0.033913691516797184,0.029678595540427195,0.031429701523452445,4708.000000000011,4602.99999999999,-105.00000000002092,18807.0,20800
16102,-1.0,1.0,0.0,49.76,41.45,LUG,LDVD,0.18664984253748276,0.2149447581126167,0.028294915575133944,0.0539479755854954,0.0606492088956266,18716.999999999996,18606.0,-110.99999999999636,18941.6666666667,21000
16271,0.0,0.0,0.0,52.66,53.01,LDIV,LNC,0.286393160622954,0.3416246394497036,0.055231478826749614,0.10676938005680282,0.09912910199414693,2403.000000000006,2382.0,-21.00000000000591,25046.1904761905,26420
17010,-1.0,1.0,0.0,48.26,58.53,LDVG,LDVD,0.22710526315789473,0.2693068622997467,0.04220159914185198,0.06157894736842105,0.08223609091464312,3800.0,4063.0,263.0,23159.5652173913,25480
17028,-1.0,1.0,0.0,40.79,38.04,LUG,LDVD,0.2319196962808254,0.2983366773709775,0.06641698109015212,0.07066247496092447,0.08810810434031148,8821.000000000004,9397.000000000013,576.0000000000091,20421.6666666667,21460
17218,1.0,0.0,1.0,44.98,37.5,LDVD,LDVG,0.13846459862548202,0.1609211698021013,0.022456571176619283,0.03328274809436941,0.03532371548536746,4589.999999999992,4512.0,-77.99999999999181,19055.119047619,20340
17230,-1.0,1.0,0.0,46.13,35.87,LDVG,LNC,0.15244222370678548,0.18228233366282975,0.029840109956044275,0.02622580635444681,0.0431612143780396,3044.0,3131.0,87.0,20620.0,23280
17299,0.0,0.0,0.0,43.08,58.86,LUMP,LDVD,0.161737266838864,0.18429969289348797,0.02256242605462397,0.04538137056667945,0.05189860135269801,24299.999999999993,23410.000000000004,-889.9999999999891,17771.0,19520
17300,0.0,1.0,1.0,43.68,41.97,LDVG,LDVG,0.22423984617631348,0.26885986945691887,0.04462002328060538,0.07032811218111096,0.08033725064975861,74998.0,77210.0,2212.0,19154.0,21010
17306,0.0,0.0,0.0,51.73,52.21,LUMP,LDVD,0.17518314707075558,0.22751878921177868,0.0523356421410231,0.03684956171302606,0.03808081017063866,18388.0,18637.999999999975,249.99999999997453,20051.4285714286,22340
17415,0.0,0.0,0.0,55.73,31.77,LUD,LDVC,0.19470022569422246,0.23249443826961916,0.037794212575396696,0.05518817973598172,0.06159194603625663,25149.000000000004,25412.000000000007,263.00000000000364,18993.9130434783,21010
17420,0.0,0.0,0.0,40.38,52.03,LDIV,LNC,0.21815519765739386,0.288155941104577,0.07000074344718313,0.04880429477794046,0.0795401734029475,2049.0,2324.0,275.0,23005.3333333333,25150
17452,0.0,0.0,0.0,46.87,50.61,LDVD,LDVD,0.11489347596224232,0.14850701604647065,0.03361354008422833,0.029575301231558014,0.025443667020378872,4792.0,4326.0,-466.0,19428.0,21780
18033,1.0,0.0,1.0,53.64,54.95,LUD,LDVG,0.19997015293784243,0.23781917358997542,0.037849020652133,0.07028346631382562,0.07461030533906866,66528.0,64362.000000000015,-2165.9999999999854,19306.0,20810
18207,-1.0,1.0,0.0,40.9,54.79,LDVG,LDIV,0.12129952206608498,0.13663439082987888,0.015334868763793905,0.028950266990646886,0.035563298870717665,6616.000000000011,6432.0,-184.0000000000109,19178.0952380952,20470
19246,0.0,0.0,0.0,51.06,55.22,LDVD,LNC,0.1644314868804669,0.19643950599775092,0.032008019117284014,0.027988338192419828,0.0538334033155624,1757.0,1883.0,126.0,20875.3333333333,22460
19275,0.0,0.0,0.0,60.9,55.26,LUMP,LDVD,0.15370138313118648,0.16601178781925344,0.012310404688066962,0.03295594006995932,0.03710980135341629,9771.999999999996,9162.0,-609.9999999999964,18736.0,20240
21038,0.0,0.0,0.0,53.43,60.61,LUMP,LDIV,0.09146636553443462,0.10252200772693701,0.011055642192502393,0.019039278833575184,0.020892226301483595,7835.000000000003,7621.0,-214.00000000000273,18412.0,19980
21231,0.0,1.0,1.0,52.84,43.52,LUG,LUG,0.24753404123655234,0.27301962038431016,0.025485579147757814,0.09681882991284992,0.09959556371580999,153668.0,159105.99999999997,5437.999999999971,20572.6666666667,21830
21263,-1.0,1.0,0.0,53.8,44.46,LDVG,LNC,0.22156862745098038,0.2614645142196055,0.0398958867686251,0.0718954248366013,0.09972893593480814,1530.0,1673.0,143.0,24906.0,26610
